0	0
194	117.0
389	129.0
568	139
766	82.0
961	131.0
1122	88
1276	116.0
1421	78.0
1571	144.0
1721	132.0
1873	92.0
2025	171.0
2173	124.0
2322	164.0
2466	142
2612	119.0
2752	124.0
2898	88.0
3041	90.0
3185	114.0
3330	112
3481	111.0
3625	123
3769	85.0
3917	172.0
4061	77
4202	188.0
4348	128
4487	131.0
4633	141.0
4778	182
4921	163.0
5065	134.0
5212	106.0
5357	113.0
5500	219.0
5645	187.0
5787	238.0
5926	219.0
6061	198.0
6203	157
6344	201
6485	203.0
6626	190
6777	113.0
6945	258.0
7084	152.0
7220	135.0
7358	243.0
7496	143.0
7634	148
7769	223.0
7906	162.0
8043	183.0
8180	156.0
8315	127
8451	174.0
8587	163.0
8722	234.0
8856	246
8992	187.0
9129	175.0
9264	150.0
9397	198.0
9532	104.0
9667	221
9801	227
9934	162
10067	194.0
10200	127.0
10333	203.0
10465	236.0
10597	242.0
10731	232.0
10863	256.0
10996	231.0
11128	141.0
11261	216.0
11393	202.0
11525	153.0
11657	180.0
11790	210.0
11923	175
12055	224.0
12188	158.0
12320	214.0
12452	234.0
12584	148.0
12717	139.0
